table_schema,table_name,constraint_name,constraint_type
public,addresses,2200_16681_10_not_null,CHECK
public,addresses,2200_16681_11_not_null,CHECK
public,addresses,2200_16681_12_not_null,CHECK
public,addresses,2200_16681_14_not_null,CHECK
public,addresses,2200_16681_15_not_null,CHECK
public,addresses,2200_16681_17_not_null,CHECK
public,addresses,2200_16681_18_not_null,CHECK
public,addresses,2200_16681_1_not_null,CHECK
public,addresses,2200_16681_2_not_null,CHECK
public,addresses,2200_16681_5_not_null,CHECK
public,addresses,2200_16681_6_not_null,CHECK
public,addresses,2200_16681_9_not_null,CHECK
public,addresses,addresses_address_type_check,CHECK
public,addresses,addresses_check,CHECK
public,addresses,addresses_order_id_fkey,FOREIGN KEY
public,addresses,addresses_pkey,PRIMARY KEY
public,addresses,addresses_scope_check,CHECK
public,addresses,addresses_user_id_fkey,FOREIGN KEY
public,cart_items,2200_16695_1_not_null,CHECK
public,cart_items,2200_16695_2_not_null,CHECK
public,cart_items,2200_16695_3_not_null,CHECK
public,cart_items,2200_16695_4_not_null,CHECK
public,cart_items,2200_16695_5_not_null,CHECK
public,cart_items,2200_16695_6_not_null,CHECK
public,cart_items,2200_16695_7_not_null,CHECK
public,cart_items,cart_items_cart_id_fkey,FOREIGN KEY
public,cart_items,cart_items_cart_id_product_id_key,UNIQUE
public,cart_items,cart_items_pkey,PRIMARY KEY
public,cart_items,cart_items_product_id_fkey,FOREIGN KEY
public,cart_items,cart_items_quantity_check,CHECK
public,cart_items,cart_items_user_id_fkey,FOREIGN KEY
public,carts,2200_16705_1_not_null,CHECK
public,carts,2200_16705_2_not_null,CHECK
public,carts,2200_16705_4_not_null,CHECK
public,carts,2200_16705_5_not_null,CHECK
public,carts,carts_pkey,PRIMARY KEY
public,carts,carts_user_id_fkey,FOREIGN KEY
public,carts,carts_user_id_key,UNIQUE
public,categories,2200_16713_1_not_null,CHECK
public,categories,2200_16713_2_not_null,CHECK
public,categories,2200_16713_3_not_null,CHECK
