schema_name,enum_type,enum_value,sort_order
public,contact_category_enum,listing_registration,1
public,contact_category_enum,ordering_trading,2
public,contact_category_enum,site_bug,3
public,contact_category_enum,site_request,4
public,contact_category_enum,press_partnership,5
public,contact_category_enum,other,6
public,order_address_type,shipping,1
public,order_address_type,billing,2
public,order_status,pending,1
public,order_status,paid,2
public,order_status,shipped,3
public,order_status,cancelled,4
public,order_status,confirmed,5
public,order_status,processing,6
public,order_status,delivered,7
public,order_status,canceled,8
public,order_status,refunded,9
public,order_status,fulfilled,10
public,partner_status,active,1
public,partner_status,inactive,2
public,partner_status,prospect,3
public,partner_status,suspended,4
public,partner_type,restaurant,1
public,partner_type,retailer,2
public,partner_type,wholesale,3
public,partner_type,corporate,4
public,partner_type,individual,5
public,partner_type,other,6
public,payment_method,card,1
public,payment_method,bank_transfer,2
public,payment_method,convenience_store,3
public,payment_method,cod,4
public,payment_method,bank,5
public,payment_method,paypay,6
public,payment_status,pending,1
public,payment_status,completed,2
public,payment_status,failed,3
public,payment_status,authorized,4
public,payment_status,paid,5
public,payment_status,canceled,6
public,payment_status,refunded,7
public,payment_status,unpaid,8
public,payment_status,cancelled,9
public,product_status,draft,1
public,product_status,private,2
public,product_status,public,3
public,review_status,published,1
public,review_status,pending,2
public,review_status,hidden,3
public,ship_method,normal,1
public,ship_method,cool,2
public,shipment_status,pending,1
public,shipment_status,preparing,2
public,shipment_status,shipped,3
public,shipment_status,delivered,4
public,shipment_status,cancelled,5
public,shipment_status,returned,6
public,shipment_status,lost,7
public,shipment_status,canceled,8
public,shipment_status,in_transit,9
